epoch,train_loss,mse,mae,corr,n
1,0.004516849294304848,5.8004879974760115e-06,0.0023494036868214607,0.7324526569897025,3
2,0.002593943409414755,0.00014850661682430655,0.011917813681066036,0.6729929793813655,3
3,0.0017189380208340783,0.0029359639156609774,0.05408136546611786,0.6568774193390313,3
4,0.00662622797406382,0.00023937439254950732,0.015235181897878647,0.6333162482199327,3
5,0.0039055814462093017,0.001593788736499846,0.03990558907389641,0.5739044856893961,3
6,0.003804881022208267,0.0006357773090712726,0.02519349940121174,0.709098582881972,3
7,0.003734762676888042,0.0010868553072214127,0.032866790890693665,0.689679748910083,3
8,0.0037092211035390696,0.002940853126347065,0.05415016785264015,0.6781534643380048,3
9,0.004286477678558893,0.0018480973085388541,0.04290488734841347,0.6853902351770053,3
10,0.0035850744696088238,0.0004185018187854439,0.02035314217209816,0.6933360441114816,3
11,0.002142684973983301,4.323575922171585e-05,0.006439220160245895,0.6839866181159902,3
12,0.0019805803636295926,0.000541226880159229,0.02324843965470791,0.6595685487891738,3
13,0.0017681267604024874,0.0005069029866717756,0.02249087393283844,0.57270225508761,3
14,0.004096714715059433,6.331061013042927e-05,0.007831157185137272,0.6852602169831465,3
15,0.00135021230513763,0.00014878125512041152,0.012049348093569279,0.7546954315156236,3
16,0.0017092065471741888,0.0005003109108656645,0.022260194644331932,0.7488372667781954,3
17,0.002057960955426097,0.0003451184893492609,0.018451740965247154,0.7451019526884585,3
18,0.0007452957462229884,8.739272743696347e-05,0.00916247721761465,0.7509629199471709,3
19,0.001169953133083052,2.5615545382606797e-06,0.0015799101674929261,0.7455277412787247,3
20,0.001054130769464084,7.364112389041111e-05,0.008474095724523067,0.7174094965694828,3
21,0.0008602788050969442,8.902853733161464e-05,0.009340942837297916,0.7114846516475584,3
22,0.0009317030651598341,3.2354106224374846e-05,0.00549176475033164,0.7049860072974198,3
23,0.0008494617161179323,1.655904452491086e-05,0.003777001053094864,0.704272585407796,3
24,0.0005830101921067884,9.151767699222546e-06,0.0026072748005390167,0.7067389544358927,3
25,0.0008392056721883515,3.1440229122381425e-06,0.0012927151983603835,0.7115308787036191,3
26,0.0020128937257039878,6.31412913207896e-05,0.007719893008470535,0.7082445052393,3
27,0.0005191883537918329,0.00018415322119835764,0.013402500189840794,0.7129308879508958,3
28,0.0007319414289668202,0.0003629608254414052,0.01890389248728752,0.7136983646182204,3
29,0.0012503770283526843,0.00038239508285187185,0.01940758153796196,0.7116003242068906,3
30,0.0009028915301314555,0.00012970533862244338,0.011180128902196884,0.7134887279478149,3
31,0.00040986859110287495,3.438351632212289e-05,0.00550771364942193,0.7141416198251669,3
32,0.001198259479780164,8.065505426202435e-06,0.002407865831628442,0.7187776679216746,3
33,0.00020999399607212076,0.0001778164878487587,0.013257062993943691,0.7274850153455313,3
34,0.0009391310935219129,0.00027291339938528836,0.0164676271378994,0.7281476023860826,3
35,0.0010178256383773664,0.00010624329297570512,0.010202609933912754,0.7180974844338572,3
36,0.0010327779107481344,5.962645445833914e-06,0.0022076067980378866,0.6799912241977015,3
37,0.0012709310511935554,2.877507904486265e-05,0.00496002659201622,0.6822406188184789,3
38,0.00044432852236140106,0.00014021911192685366,0.011625077575445175,0.6859263443936996,3
39,0.0004112804825935099,0.0002952242211904377,0.017008069902658463,0.6918185967199986,3
40,0.0010925870802667406,0.00013998626673128456,0.01154826208949089,0.7086356164464315,3
